,importance
1006,0.4987390802071829
1003,0.030816289866782837
36,0.012185968620676491
49,0.010965327363359005
1002,0.009396775198160385
73,0.008582300340824477
1004,0.008149957082350945
1000,0.006828113808571368
43,0.006527019541622941
9,0.006363710699373222
21,0.005792147452824139
1001,0.005465799163485347
28,0.005463228398582658
20,0.005013697975386978
32,0.004933400974806922
10,0.004786270428916433
22,0.003969434004656786
83,0.0037681757017648983
46,0.003742838188885826
1005,0.0037077969602875406
15,0.0030843008911428135
51,0.0030579825541169267
7,0.0030011992450479853
8,0.0029718117847555656
5,0.002889640917182209
13,0.002799163176215189
119,0.0026516675151169477
62,0.0025990926666134674
30,0.002596544537711383
34,0.002559878242775854
47,0.002507464047457664
71,0.002501714845180441
104,0.0025000477774435852
57,0.0024658927956288596
61,0.0024208370002962686
74,0.002389684911852961
102,0.0023708509891481808
92,0.0023083004378848045
12,0.0022708111916798727
35,0.0022617783270269367
17,0.002259181518048087
133,0.002256567008204699
66,0.002252473847835675
45,0.00225172832885463
24,0.0022221928789397756
84,0.0022199914351685407
65,0.002190345746843184
60,0.0021883116580774585
91,0.002184126009347718
87,0.002183010472142814
