,importance
1006,0.7979237146634718
1003,0.08580764605348278
1002,0.034962612492619866
1004,0.006140367380231837
1005,0.00374175032711607
1001,0.00245051194760168
42,0.0021979468026822515
102,0.0021611172776727357
1000,0.0013339946473896656
901,0.0006481593211485105
54,0.0005902135798646988
407,0.0005871004569113056
24,0.0005250772750555998
12,0.0005118227859631721
350,0.0005009665474165573
359,0.00048621912719108945
68,0.00045550134232132366
1,0.0004536135702635005
20,0.0004479005315120034
321,0.00044782477745016033
26,0.00043947807346541575
170,0.0004311307867142654
186,0.00042506366504533195
40,0.0004157534013068542
13,0.0004103429310175009
262,0.00040829872877219583
83,0.00040447707093381496
66,0.0004002627251793817
209,0.00038418919605931055
36,0.000383089747845362
37,0.00037780439973540144
168,0.0003776859612325932
234,0.0003771271815970747
22,0.00037510168520429757
69,0.0003574747020715545
49,0.0003437655739887369
245,0.00033708941358188624
140,0.00033069672536795576
7,0.0003301134685533277
5,0.00032907515495070853
137,0.00032539194477268697
57,0.00032177616624785643
388,0.00032080847481996786
28,0.0003138006784509064
144,0.00030970331007201314
291,0.0003040106405362971
97,0.00030391655714952817
2,0.0002978281059445362
94,0.0002978030816926128
104,0.00029523880016365026
