Model,target,R2,MAE,RMSE
Random Forest,logP,0.653905053920639,0.8349124930346798,1.273594071087934
Random Forest,QED,0.7787804130716465,0.06950512859866474,0.10204175084919474
Random Forest,MW,0.9513445886736688,11.016268741987265,33.1152950679086
Neural Network,logP,0.7124472123051993,0.6978194713592529,1.1608930826187134
Neural Network,QED,0.7879755376559727,0.06481162458658218,0.09989853203296661
Neural Network,MW,0.9048846985964585,20.83266258239746,46.30077362060547
