,importance
1006,0.11706795364873208
1002,0.03580127344253867
1003,0.02989731564602181
7,0.02220249551049571
36,0.020056626315234066
1004,0.01847402394388768
1001,0.01290552960333786
102,0.012574210565540903
1000,0.011265676738859162
43,0.00809214670197152
49,0.00803396757148524
9,0.007969441483479278
48,0.00768237939203433
28,0.00760774265635746
20,0.007436697594395331
216,0.007390389250558691
24,0.00664040308935924
5,0.006472728643708419
34,0.006335245721127685
263,0.0062633031138844076
529,0.006198324593172228
247,0.006013909509016724
22,0.0057546902636774365
90,0.005592219281034733
63,0.00544935048562319
573,0.0052134122197233105
30,0.005119461008437899
68,0.0049624827537784605
246,0.0049121361331907485
245,0.004789331982031515
367,0.004727175099813327
92,0.004528159233614902
53,0.0044057767109030675
73,0.004386061969407772
33,0.0042379258457145765
1005,0.004198991988164464
74,0.004029917947283665
72,0.004013382563546157
52,0.003936728861047626
107,0.0038906933628996532
32,0.0037628141509213407
86,0.0037081360781539446
47,0.0035998796464513914
277,0.0035005558827812156
559,0.0034492556419771486
55,0.0034233476487478755
88,0.0033864140569384656
66,0.003378460531256188
17,0.003334690367658093
80,0.0033261818717472006
